"age","gender","driving_experience","education","income","credit_score","vehicle_ownership","vehicle_year","married","children","annual_mileage","speeding_violations","duis","past_accidents","outcome","zipcode"
"40-64","male","10-19y","university","upper class",0.505574472719011,"1","after 2015","1","0",9000,3,0,0,"0","3"
"65+","female","30y+","high school","upper class",0.624725978956738,"1","before 2015","1","1",9000,7,1,1,"0","3"
"65+","female","10-19y","high school","upper class",0.77213039044589,"1","before 2015","1","1",10000,0,0,0,"0","1"
"26-39","female","0-9y","high school","middle class",0.680030960860414,"1","before 2015","0","0",NA,0,0,0,"0","1"
"40-64","male","20-29y","high school","upper class",0.519095026782025,"1","before 2015","1","1",9000,4,1,1,"0","3"
"26-39","female","10-19y","high school","upper class",0.632767433638528,"1","after 2015","1","0",8000,0,0,0,"0","1"
"26-39","male","10-19y","university","working class",0.425598096723074,"0","before 2015","0","1",8000,3,0,0,"0","3"
"40-64","female","20-29y","high school","middle class",0.659467953546543,"1","before 2015","0","1",12000,0,1,1,"0","1"
"16-25","female","0-9y","high school","poverty",0.382125057257942,"0","before 2015","0","0",13000,0,0,0,"1","1"
"65+","male","30y+","high school","middle class",0.707410723375504,"1","after 2015","1","1",13000,3,1,3,"0","1"
"26-39","male","10-19y","university","middle class",0.499039037828058,"1","before 2015","0","1",9000,2,1,2,"0","3"
"26-39","female","10-19y","high school","middle class",0.721238073496417,"1","before 2015","0","0",NA,2,0,0,"0","3"
"40-64","male","20-29y","university","upper class",0.665392739525436,"1","after 2015","1","1",9000,0,0,3,"0","9"
"16-25","female","0-9y","high school","poverty",0.416252975688502,"0","before 2015","0","0",11000,0,0,0,"1","1"
"65+","female","30y+","high school","upper class",0.566784094207991,"1","before 2015","1","1",7000,1,2,6,"0","3"
"26-39","female","10-19y","high school","working class",0.38610169197171,"1","before 2015","0","1",12000,0,0,1,"0","1"
"40-64","male","20-29y","high school","working class",0.434520232198759,"0","before 2015","0","1",14000,2,0,3,"1","1"
"40-64","male","20-29y","university","upper class",0.599627455095925,"1","before 2015","0","1",14000,3,0,3,"0","1"
"65+","female","10-19y","university","upper class",0.721057321771968,"0","after 2015","1","1",12000,1,0,0,"1","3"
"26-39","female","10-19y","high school","working class",NA,"1","before 2015","1","1",NA,3,1,0,"0","3"
"26-39","male","10-19y","university","middle class",0.556118292943179,"1","before 2015","0","1",8000,2,0,3,"0","3"
"16-25","male","0-9y","high school","working class",0.509924604411001,"1","before 2015","1","0",NA,0,0,0,"0","1"
"16-25","female","0-9y","high school","middle class",0.508460756007924,"1","before 2015","0","1",11000,0,0,0,"1","3"
"26-39","female","10-19y","university","middle class",0.476429821433661,"0","before 2015","0","1",15000,0,1,0,"0","1"
"26-39","male","10-19y","none","working class",0.428088792246722,"1","before 2015","1","0",12000,1,0,2,"1","1"
"40-64","male","10-19y","none","working class",0.296903965957592,"1","before 2015","1","1",9000,4,1,1,"0","1"
"65+","female","20-29y","university","upper class",0.587146921366359,"1","after 2015","1","1",6000,3,1,7,"0","1"
"26-39","female","10-19y","none","working class",0.384158549990298,"1","before 2015","1","1",12000,1,0,1,"0","1"
"16-25","male","0-9y","university","working class",0.297120412732778,"0","before 2015","0","0",NA,0,0,0,"1","1"
"26-39","female","10-19y","high school","poverty",0.318462088774985,"0","before 2015","0","0",17000,1,0,0,"1","1"
"16-25","male","0-9y","university","working class",0.321236380989764,"1","before 2015","0","0",14000,0,0,0,"1","1"
"26-39","female","0-9y","none","poverty",0.410695697358801,"0","before 2015","0","0",16000,0,0,0,"1","1"
"40-64","male","10-19y","university","upper class",0.605070184315964,"1","before 2015","1","1",10000,1,0,1,"0","9"
"26-39","female","10-19y","high school","middle class",0.585057188033383,"0","before 2015","0","1",8000,2,0,1,"0","3"
"40-64","male","20-29y","high school","middle class",0.468539378101197,"1","after 2015","0","0",18000,3,0,3,"0","1"
"40-64","male","10-19y","high school","upper class",NA,"1","after 2015","1","1",7000,1,0,1,"0","1"
"16-25","male","0-9y","high school","poverty",0.472041904154134,"0","before 2015","0","0",NA,0,0,0,"1","1"
"16-25","male","0-9y","none","poverty",0.421929081236411,"0","before 2015","0","0",14000,0,0,0,"1","1"
"16-25","female","0-9y","none","poverty",0.34630772145043,"0","before 2015","0","0",16000,0,0,0,"1","1"
"65+","female","10-19y","university","upper class",NA,"1","after 2015","1","1",13000,3,0,1,"1","2"
"40-64","female","10-19y","high school","middle class",0.521831858148715,"0","before 2015","1","1",10000,0,0,2,"0","1"
"26-39","female","10-19y","university","working class",0.583084691952673,"0","before 2015","0","0",14000,2,0,0,"1","3"
"40-64","male","10-19y","none","upper class",0.67829407463728,"1","after 2015","1","1",8000,1,0,0,"0","1"
"40-64","female","20-29y","none","middle class",NA,"1","before 2015","0","1",12000,0,0,3,"0","1"
"40-64","male","20-29y","none","upper class",0.577551094055619,"1","before 2015","0","1",13000,3,0,2,"0","1"
"26-39","female","0-9y","none","working class",0.521871913434752,"1","before 2015","0","1",14000,0,0,0,"1","1"
"16-25","male","0-9y","high school","poverty",0.401602230360012,"1","before 2015","1","1",8000,0,0,0,"1","9"
"40-64","female","20-29y","university","upper class",0.503089960431364,"1","after 2015","0","0",16000,1,0,0,"0","1"
"40-64","female","0-9y","university","upper class",0.626297203009925,"1","before 2015","0","0",19000,0,0,0,"1","1"
"26-39","female","10-19y","high school","middle class",0.486775921157441,"1","after 2015","0","1",11000,0,0,0,"0","1"
"26-39","male","10-19y","high school","upper class",0.615976512781141,"1","before 2015","1","1",7000,3,0,0,"0","3"
"26-39","female","10-19y","high school","middle class",0.517571710922108,"0","after 2015","0","0",13000,0,0,0,"1","3"
"16-25","male","0-9y","university","middle class",0.577146396253706,"1","before 2015","1","1",11000,0,0,0,"0","1"
"16-25","female","0-9y","high school","upper class",0.506301899315004,"0","before 2015","0","0",12000,0,0,0,"1","3"
"26-39","male","10-19y","high school","working class",0.394715581682104,"1","after 2015","0","1",11000,1,0,1,"0","3"
"65+","female","30y+","university","upper class",0.562234556197791,"0","after 2015","1","1",9000,1,2,1,"0","3"
"26-39","female","10-19y","university","working class",NA,"0","before 2015","0","0",13000,0,0,1,"1","2"
"26-39","female","10-19y","high school","poverty",0.375955417065364,"0","before 2015","0","1",NA,0,0,1,"0","1"
"40-64","male","20-29y","high school","upper class",0.480664630127202,"1","before 2015","1","1",9000,5,0,3,"0","1"
"26-39","male","10-19y","high school","middle class",0.444927362192589,"1","before 2015","0","1",16000,1,1,0,"0","1"
"65+","female","0-9y","university","upper class",0.774786590324071,"1","after 2015","1","1",11000,0,0,0,"0","1"
"65+","male","30y+","university","upper class",0.56752630308155,"1","before 2015","0","0",15000,4,0,2,"0","1"
"16-25","female","0-9y","high school","poverty",0.208410669418986,"0","before 2015","0","1",8000,0,0,0,"1","3"
"65+","female","30y+","university","upper class",0.486358867927837,"1","after 2015","0","1",12000,3,2,3,"0","3"
"40-64","female","20-29y","none","middle class",0.371592951277201,"1","after 2015","1","1",6000,3,1,1,"0","3"
"40-64","female","20-29y","high school","working class",0.438010384177217,"0","after 2015","0","1",13000,1,0,1,"0","1"
"26-39","female","10-19y","university","working class",0.390011219113124,"1","before 2015","0","0",19000,0,2,0,"0","1"
"16-25","female","0-9y","none","poverty",0.330777193504767,"0","before 2015","1","1",13000,0,0,0,"1","1"
"40-64","female","0-9y","high school","upper class",0.58899311241025,"1","before 2015","1","0",NA,0,0,0,"0","1"
"26-39","male","0-9y","high school","poverty",0.347492050045447,"0","before 2015","0","1",13000,0,0,0,"1","3"
"26-39","female","10-19y","none","poverty",0.272879348609833,"1","before 2015","0","1",16000,0,0,0,"0","1"
"65+","female","30y+","university","upper class",0.627745589789401,"1","before 2015","0","1",12000,3,0,3,"0","1"
"26-39","female","10-19y","university","working class",0.361702429111173,"1","before 2015","0","0",10000,0,0,0,"0","1"
"40-64","female","20-29y","university","upper class",0.545905629514091,"1","after 2015","1","1",NA,0,0,3,"0","1"
"16-25","female","0-9y","none","poverty",0.408043506666475,"0","before 2015","0","1",15000,0,0,0,"1","1"
"65+","male","30y+","university","upper class",0.47587589609266,"1","after 2015","1","1",7000,8,0,4,"0","3"
"16-25","male","0-9y","high school","middle class",0.577475197148931,"0","before 2015","0","0",10000,0,0,0,"0","1"
"16-25","male","0-9y","university","poverty",0.431079333640016,"0","before 2015","1","1",NA,0,0,0,"1","3"
"16-25","male","0-9y","university","working class",0.476032034229062,"0","before 2015","0","0",13000,0,0,0,"1","2"
"65+","male","30y+","university","upper class",0.549135716730433,"1","before 2015","0","1",12000,4,0,2,"0","1"
"65+","male","20-29y","university","upper class",0.568074838179134,"1","after 2015","1","1",12000,3,0,2,"0","1"
"40-64","female","20-29y","none","working class",NA,"1","before 2015","0","1",12000,2,0,0,"0","9"
"40-64","female","20-29y","university","upper class",0.60467645890385,"1","before 2015","0","0",12000,0,0,0,"0","1"
"40-64","female","20-29y","university","upper class",0.604144586301162,"1","before 2015","0","1",11000,1,0,4,"0","1"
"26-39","female","10-19y","high school","middle class",0.470283546759346,"1","after 2015","1","1",5000,3,0,2,"0","3"
"26-39","female","10-19y","none","poverty",0.344072376934952,"1","before 2015","0","1",15000,0,0,2,"0","1"
"26-39","female","10-19y","high school","middle class",0.603781769251809,"1","before 2015","1","1",15000,1,0,1,"0","1"
"26-39","male","0-9y","high school","upper class",0.492318608978515,"1","before 2015","1","1",10000,0,0,0,"0","1"
"40-64","female","20-29y","university","upper class",0.621894339628683,"1","after 2015","1","1",NA,5,1,1,"0","1"
"26-39","male","10-19y","none","working class",0.374637869390627,"1","before 2015","0","0",15000,2,1,2,"1","1"
"26-39","male","10-19y","high school","middle class",0.427270927766737,"0","after 2015","1","1",NA,1,0,0,"0","1"
"16-25","female","0-9y","none","poverty",0.15297216022557,"1","before 2015","1","0",10000,0,0,0,"0","1"
"26-39","female","10-19y","none","working class",0.421749650141594,"1","before 2015","0","0",NA,1,0,0,"1","9"
"40-64","male","0-9y","university","upper class",0.489722983922027,"1","after 2015","1","1",12000,0,0,0,"0","1"
"16-25","male","0-9y","high school","working class",NA,"1","before 2015","0","1",7000,0,0,0,"1","3"
"40-64","female","10-19y","none","middle class",0.560811265885272,"1","before 2015","0","1",14000,0,0,1,"0","1"
"40-64","female","20-29y","university","middle class",0.503983295159489,"1","before 2015","0","1",16000,2,0,2,"0","9"
"16-25","male","0-9y","university","poverty",0.368082621370607,"0","before 2015","0","0",15000,0,0,0,"1","1"
"65+","male","30y+","university","upper class",0.583871534763693,"1","before 2015","1","1",12000,3,0,4,"0","1"
"26-39","female","0-9y","high school","upper class",0.422579103135682,"1","before 2015","1","1",NA,0,0,0,"0","1"
"16-25","male","0-9y","university","middle class",0.714495895496701,"1","after 2015","0","0",14000,0,0,0,"0","1"
"40-64","female","20-29y","none","middle class",0.603331247395733,"0","before 2015","1","1",NA,0,1,1,"0","9"
"26-39","female","0-9y","none","poverty",0.569645547820795,"1","before 2015","0","1",12000,0,0,0,"0","1"
"26-39","female","0-9y","high school","middle class",0.413378530364734,"1","before 2015","1","1",NA,0,0,0,"0","1"
"16-25","female","0-9y","university","poverty",0.354928897319132,"0","before 2015","0","0",12000,0,0,0,"1","3"
"40-64","male","20-29y","none","working class",0.58158909544649,"1","before 2015","0","0",18000,1,1,3,"0","1"
"16-25","female","0-9y","high school","middle class",0.649297877183214,"1","before 2015","1","1",11000,0,0,0,"0","1"
"26-39","male","0-9y","university","upper class",0.68883180254323,"1","after 2015","1","1",13000,0,0,0,"1","3"
"65+","female","30y+","university","middle class",0.423147486917908,"0","after 2015","1","1",10000,7,1,1,"0","3"
"40-64","male","0-9y","university","middle class",0.523811293699107,"1","before 2015","1","1",10000,0,0,0,"1","9"
"65+","female","30y+","university","upper class",0.746942518110507,"0","before 2015","1","0",10000,3,0,0,"0","1"
"40-64","male","10-19y","high school","middle class",0.384844718501499,"1","before 2015","1","1",12000,2,0,0,"0","3"
"40-64","female","10-19y","none","poverty",NA,"0","before 2015","1","1",5000,2,0,0,"1","3"
"40-64","male","20-29y","university","upper class",0.599289233781395,"1","after 2015","1","1",14000,0,1,5,"0","1"
"40-64","male","20-29y","none","poverty",0.246749127525839,"0","before 2015","1","1",13000,3,0,2,"0","1"
"65+","female","30y+","university","upper class",0.486934889496002,"1","before 2015","0","1",12000,3,1,0,"0","3"
"65+","male","30y+","university","upper class",0.697036493058555,"1","after 2015","1","1",11000,5,0,5,"0","1"
"40-64","male","20-29y","university","middle class",0.564056876270718,"1","before 2015","0","1",10000,4,0,1,"0","1"
"40-64","female","0-9y","high school","upper class",0.668684560848145,"1","before 2015","1","1",8000,0,0,0,"1","3"
"16-25","male","0-9y","high school","poverty",NA,"0","before 2015","0","1",7000,0,0,0,"1","3"
"65+","female","30y+","high school","upper class",0.790956264588689,"1","before 2015","0","1",13000,2,0,1,"0","1"
"16-25","male","0-9y","high school","poverty",0.247411044711031,"0","before 2015","0","0",11000,0,0,0,"1","1"
"26-39","female","0-9y","none","middle class",0.672386515256241,"1","before 2015","0","1",15000,0,0,0,"1","9"
"65+","male","0-9y","university","upper class",NA,"1","after 2015","1","1",13000,0,0,0,"0","1"
"16-25","female","0-9y","high school","middle class",0.335283136062397,"1","before 2015","0","0",14000,0,0,0,"1","1"
"40-64","female","20-29y","high school","middle class",0.567255307479642,"1","before 2015","1","1",9000,1,1,0,"0","3"
"26-39","male","10-19y","university","middle class",0.528155082401811,"1","after 2015","1","1",8000,1,0,0,"0","1"
"65+","female","30y+","high school","middle class",0.6183782575872,"0","before 2015","1","1",11000,4,0,2,"0","1"
"40-64","female","20-29y","none","middle class",0.538410530934271,"0","before 2015","1","1",NA,0,0,5,"0","1"
"65+","male","20-29y","high school","upper class",0.609314635087808,"1","before 2015","1","1",4000,5,1,3,"0","3"
"65+","male","30y+","none","upper class",0.66527896164943,"0","after 2015","0","1",15000,3,1,7,"0","1"
"16-25","male","0-9y","none","working class",0.557150249939646,"0","before 2015","0","1",12000,0,0,0,"1","1"
"65+","female","20-29y","high school","upper class",0.595232590771384,"1","after 2015","0","1",11000,0,0,1,"0","9"
"40-64","male","20-29y","high school","upper class",0.706517818558506,"1","before 2015","1","1",11000,4,1,7,"0","1"
"40-64","male","10-19y","university","upper class",0.522499418882199,"1","after 2015","0","0",16000,0,0,0,"1","3"
"65+","male","30y+","high school","upper class",NA,"1","after 2015","1","1",7000,5,0,11,"0","1"
"26-39","female","10-19y","high school","middle class",0.588707991931679,"1","before 2015","0","1",16000,1,0,1,"0","1"
"16-25","female","0-9y","none","poverty",0.306150968796685,"0","after 2015","0","0",15000,0,0,0,"0","1"
"65+","male","20-29y","high school","upper class",0.600835767281396,"1","after 2015","0","1",7000,2,1,0,"0","1"
"65+","male","10-19y","high school","upper class",0.633403473578646,"1","after 2015","1","1",9000,1,1,2,"0","1"
"16-25","female","0-9y","high school","poverty",NA,"0","before 2015","0","0",NA,0,0,0,"1","1"
"26-39","male","10-19y","high school","working class",0.416325599442164,"0","before 2015","0","1",12000,2,0,0,"1","3"
"40-64","female","0-9y","university","upper class",0.676010262944696,"1","before 2015","1","1",8000,0,0,0,"1","3"
"40-64","male","20-29y","high school","working class",0.272705269264691,"1","before 2015","1","1",10000,4,1,3,"0","1"
"65+","female","30y+","university","upper class",0.662621055404653,"1","after 2015","1","1",11000,1,0,1,"0","1"
"40-64","male","20-29y","university","working class",0.440183338846346,"1","after 2015","1","1",12000,0,0,5,"0","1"
"26-39","female","10-19y","high school","working class",0.524141082140839,"0","after 2015","1","1",12000,2,0,1,"0","1"
"40-64","female","10-19y","university","middle class",0.441314019821228,"0","before 2015","1","1",10000,3,0,0,"0","1"
"40-64","male","10-19y","high school","upper class",0.682057542739168,"1","before 2015","1","1",10000,0,0,1,"0","1"
"40-64","male","20-29y","university","upper class",0.697462012500426,"1","after 2015","0","1",13000,0,1,5,"0","9"
"40-64","female","20-29y","none","middle class",0.651457244917182,"1","after 2015","1","1",8000,6,0,3,"0","3"
"65+","male","20-29y","university","upper class",NA,"1","after 2015","1","1",NA,1,0,2,"0","1"
"65+","female","30y+","high school","upper class",0.60637356974871,"1","before 2015","1","1",7000,5,1,5,"0","1"
"26-39","male","0-9y","high school","working class",0.331688910733918,"0","before 2015","0","0",16000,0,0,0,"1","1"
"65+","female","10-19y","university","upper class",NA,"1","after 2015","1","1",NA,0,0,2,"0","1"
"16-25","female","0-9y","high school","poverty",0.309330604239664,"1","before 2015","0","1",6000,0,0,0,"1","3"
"26-39","female","10-19y","university","middle class",NA,"1","before 2015","1","1",12000,0,0,1,"0","1"
"65+","male","30y+","university","upper class",0.637095470187428,"1","before 2015","0","1",12000,9,1,5,"0","1"
"40-64","female","10-19y","high school","working class",0.414909800485921,"0","before 2015","0","1",10000,1,0,2,"1","1"
"40-64","male","0-9y","high school","working class",0.437416834594885,"0","before 2015","0","0",NA,0,0,0,"1","1"
"26-39","female","0-9y","high school","upper class",0.531734090552737,"1","before 2015","1","1",14000,0,0,0,"1","1"
"26-39","male","10-19y","none","poverty",0.464534500120163,"0","before 2015","0","1",NA,1,1,0,"0","1"
"40-64","male","20-29y","university","upper class",0.562653500020748,"1","before 2015","1","1",8000,4,0,0,"0","9"
"65+","male","10-19y","university","upper class",0.614690388794033,"0","after 2015","0","1",NA,4,0,1,"0","1"
"16-25","female","0-9y","none","poverty",0.286204407203221,"0","before 2015","0","0",16000,0,0,0,"1","1"
"40-64","male","0-9y","university","upper class",0.587281425721441,"1","before 2015","1","1",11000,0,0,0,"0","1"
"65+","female","20-29y","university","upper class",0.502403780934222,"1","after 2015","0","1",16000,0,0,1,"0","1"
"26-39","male","10-19y","university","upper class",0.502944292231637,"1","before 2015","1","1",13000,0,1,0,"0","9"
"65+","female","0-9y","none","working class",0.392214151963288,"1","before 2015","0","1",12000,0,0,0,"1","1"
"16-25","female","0-9y","high school","working class",NA,"1","before 2015","0","1",14000,0,0,0,"0","1"
"65+","male","30y+","high school","working class",0.376076856796789,"1","before 2015","1","1",10000,7,1,2,"0","3"
"16-25","male","0-9y","university","middle class",0.467100600694803,"1","before 2015","0","1",NA,0,0,0,"1","1"
"40-64","female","20-29y","none","middle class",0.794243398255446,"1","after 2015","1","1",11000,1,1,1,"0","1"
"65+","male","30y+","university","upper class",0.605275302799504,"1","before 2015","1","1",12000,2,2,3,"0","1"
"40-64","male","20-29y","high school","working class",0.414133769993236,"0","before 2015","1","1",7000,5,1,1,"0","1"
"16-25","male","0-9y","university","middle class",NA,"1","before 2015","0","0",12000,0,0,0,"1","1"
"40-64","male","20-29y","high school","middle class",0.487458198012411,"1","before 2015","0","1",12000,2,1,1,"0","9"
"40-64","male","10-19y","university","upper class",0.639866273956926,"1","before 2015","1","1",8000,2,0,3,"0","1"
"65+","male","10-19y","university","upper class",NA,"0","before 2015","1","1",10000,2,1,1,"1","1"
"16-25","female","0-9y","none","poverty",0.254907683270748,"1","before 2015","0","0",12000,0,0,0,"0","1"
"26-39","male","10-19y","high school","working class",0.349544662742499,"1","before 2015","0","0",14000,2,0,2,"0","1"
"26-39","female","10-19y","university","working class",0.503234620518704,"0","after 2015","1","1",10000,1,0,1,"0","1"
"26-39","male","10-19y","high school","middle class",0.589882191368374,"0","before 2015","0","0",17000,3,0,1,"0","1"
"65+","male","0-9y","high school","upper class",0.716444786361613,"1","before 2015","1","1",11000,0,0,0,"1","1"
"65+","female","20-29y","university","upper class",0.712239550364401,"1","after 2015","1","1",16000,0,0,1,"0","1"
"65+","female","0-9y","high school","upper class",0.660566425223428,"1","after 2015","0","1",14000,0,0,0,"0","1"
"65+","female","0-9y","none","upper class",0.757566343050301,"1","after 2015","1","1",NA,0,0,0,"0","1"
"40-64","female","20-29y","none","working class",0.311110241189775,"1","before 2015","0","0",13000,0,1,2,"0","1"
"26-39","female","10-19y","university","middle class",NA,"1","before 2015","1","0",13000,0,0,1,"0","1"
"65+","female","30y+","none","middle class",0.539105776531012,"1","after 2015","1","1",12000,2,2,1,"0","1"
"65+","female","30y+","high school","upper class",0.58663148511171,"1","before 2015","0","1",11000,3,0,6,"0","1"
"65+","female","0-9y","university","upper class",0.565745348687183,"1","before 2015","1","1",11000,0,0,0,"0","1"
"65+","male","30y+","university","upper class",0.609898046519752,"1","before 2015","1","1",NA,12,0,5,"0","3"
"26-39","female","10-19y","none","poverty",0.249210096331584,"0","before 2015","0","1",13000,0,0,0,"0","9"
"16-25","female","0-9y","none","poverty",0.26451943644799,"1","before 2015","0","0",12000,0,0,0,"0","1"
"26-39","male","0-9y","university","middle class",0.443195172117578,"0","before 2015","0","0",15000,0,0,0,"1","1"
"40-64","female","0-9y","university","upper class",0.613990418035602,"1","after 2015","0","1",12000,0,0,0,"0","1"
"40-64","male","10-19y","high school","working class",0.690498579892094,"0","before 2015","1","1",10000,2,0,1,"1","3"
"40-64","female","20-29y","university","upper class",0.551973804020322,"1","before 2015","1","1",10000,5,2,0,"0","3"
"65+","male","30y+","high school","upper class",0.515077927897259,"1","after 2015","1","1",11000,3,1,5,"0","1"
"40-64","male","10-19y","university","middle class",0.559987063723347,"1","before 2015","1","1",8000,1,1,0,"0","1"
"26-39","male","10-19y","university","upper class",0.625319356044178,"1","before 2015","0","0",15000,0,0,3,"0","1"
"40-64","male","0-9y","university","upper class",0.623313822091611,"1","after 2015","0","0",17000,0,0,0,"1","9"
"16-25","female","0-9y","high school","poverty",0.448643577209834,"0","after 2015","0","1",NA,0,0,0,"1","3"
"16-25","male","0-9y","high school","upper class",0.5066478748733,"1","before 2015","0","1",17000,0,0,0,"1","1"
"65+","male","0-9y","university","upper class",0.565906795108743,"1","before 2015","1","1",9000,0,0,0,"1","1"
"16-25","female","0-9y","none","poverty",0.539322421749923,"1","before 2015","0","0",15000,0,0,0,"0","1"
"65+","female","30y+","high school","upper class",0.652066550573869,"1","after 2015","0","1",15000,3,0,0,"0","1"
"16-25","male","0-9y","none","poverty",0.310568788520409,"1","before 2015","1","0",17000,0,0,0,"1","1"
"40-64","female","20-29y","high school","middle class",NA,"0","before 2015","1","1",14000,0,0,0,"0","1"
"16-25","female","0-9y","high school","poverty",0.434002440204985,"0","before 2015","0","0",12000,0,0,0,"1","1"
"26-39","male","0-9y","university","upper class",0.440195479128271,"1","before 2015","1","1",11000,0,0,0,"0","1"
"16-25","female","0-9y","high school","middle class",0.548969508557169,"1","after 2015","0","1",11000,0,0,0,"1","2"
"40-64","female","20-29y","high school","working class",0.572845133021548,"1","before 2015","1","0",14000,0,1,1,"0","1"
"65+","male","0-9y","university","upper class",0.730865536141335,"0","after 2015","1","1",9000,0,0,0,"1","3"
"40-64","male","20-29y","university","upper class",0.750819587435472,"0","before 2015","0","1",4000,5,1,6,"0","3"
"26-39","male","10-19y","none","poverty",0.227648088093544,"1","before 2015","0","1",12000,3,0,0,"1","3"
"65+","male","10-19y","none","upper class",0.680801232234834,"1","before 2015","0","1",9000,2,1,2,"0","1"
"26-39","male","0-9y","high school","upper class",0.499660260470694,"1","after 2015","1","1",7000,0,0,0,"0","1"
"65+","female","0-9y","high school","upper class",NA,"1","after 2015","1","1",7000,0,0,0,"0","3"
"26-39","male","0-9y","high school","upper class",0.446943528171622,"1","before 2015","1","0",11000,0,0,0,"1","1"
"26-39","male","10-19y","high school","middle class",0.607803699503318,"1","after 2015","0","1",12000,0,1,1,"0","1"
"40-64","male","20-29y","university","upper class",0.605153227053723,"1","before 2015","1","0",NA,4,0,2,"0","3"
"26-39","female","10-19y","high school","poverty",0.316369439392369,"0","before 2015","0","0",15000,0,0,1,"1","1"
"65+","male","30y+","high school","upper class",0.542624416068195,"0","before 2015","1","1",11000,1,2,5,"0","1"
"26-39","male","10-19y","university","upper class",0.718244431031516,"1","before 2015","1","1",10000,4,0,0,"0","3"
"16-25","female","0-9y","university","middle class",0.680911692936606,"1","after 2015","0","1",10000,0,0,0,"0","1"
"40-64","female","0-9y","none","working class",0.481863684346844,"1","before 2015","0","1",13000,0,0,0,"1","3"
"26-39","female","0-9y","high school","working class",0.453932118525453,"1","before 2015","1","1",9000,0,0,0,"0","1"
"26-39","female","10-19y","none","working class",0.432841889366202,"1","before 2015","0","1",8000,2,0,3,"0","3"
"26-39","male","10-19y","university","upper class",0.538197382164431,"1","before 2015","0","0",15000,0,0,3,"0","1"
"26-39","female","10-19y","high school","poverty",0.477669910602311,"1","before 2015","0","0",13000,2,0,0,"0","3"
"26-39","male","10-19y","university","working class",NA,"0","before 2015","1","1",12000,1,1,3,"1","1"
"26-39","female","0-9y","high school","upper class",0.597218327661624,"1","after 2015","0","1",15000,0,0,0,"0","1"
"40-64","female","20-29y","none","middle class",0.543408677416947,"1","after 2015","0","1",13000,0,0,1,"0","9"
"26-39","male","10-19y","high school","upper class",0.587963879516585,"1","before 2015","1","1",12000,1,0,5,"0","1"
"26-39","male","10-19y","high school","middle class",0.55595355706767,"1","after 2015","1","1",11000,2,0,1,"0","1"
"26-39","male","0-9y","high school","working class",0.425786906719292,"0","after 2015","0","1",13000,0,0,0,"0","1"
"26-39","male","0-9y","university","middle class",0.620664751689463,"1","after 2015","0","0",13000,0,0,0,"1","1"
"65+","male","30y+","university","upper class",0.389426690548399,"1","before 2015","1","1",12000,0,0,6,"0","1"
"16-25","male","0-9y","high school","poverty",0.43766109347961,"0","before 2015","1","1",7000,0,0,0,"1","3"
"26-39","female","0-9y","high school","middle class",0.574937095439928,"0","after 2015","1","1",10000,0,0,0,"0","1"
"16-25","female","0-9y","high school","poverty",0.308103697686869,"0","after 2015","0","1",NA,0,0,0,"1","3"
"65+","male","20-29y","university","upper class",0.709759043711696,"1","before 2015","1","1",9000,0,0,2,"0","1"
"26-39","male","10-19y","high school","working class",NA,"0","after 2015","0","0",14000,0,0,2,"0","1"
"26-39","male","10-19y","university","upper class",0.750813436990128,"1","after 2015","1","1",14000,1,0,2,"0","3"
"26-39","female","10-19y","none","poverty",0.474120132180737,"0","before 2015","0","0",12000,0,0,0,"1","1"
"26-39","male","10-19y","university","middle class",0.520241956282301,"1","before 2015","1","1",11000,1,0,2,"0","3"
"40-64","male","20-29y","high school","poverty",0.242305922843296,"0","before 2015","1","0",15000,4,1,1,"0","1"
"16-25","male","0-9y","high school","middle class",0.481017558563877,"0","before 2015","1","1",13000,0,0,0,"1","1"
"26-39","male","0-9y","university","working class",0.250091702257235,"1","before 2015","0","1",16000,0,0,0,"1","1"
"40-64","male","20-29y","university","upper class",0.563654075238053,"1","after 2015","1","1",8000,13,3,1,"0","3"
"65+","male","30y+","university","middle class",0.547662858397153,"1","after 2015","1","1",6000,6,0,6,"0","1"
"40-64","male","20-29y","university","middle class",0.539023158905875,"1","after 2015","0","1",14000,4,3,4,"0","1"
"65+","female","10-19y","university","upper class",0.524900467005987,"1","before 2015","1","1",NA,2,0,0,"1","3"
"26-39","female","10-19y","high school","middle class",0.471135618360863,"1","before 2015","0","0",12000,4,0,1,"0","1"
"40-64","female","20-29y","university","upper class",NA,"1","after 2015","1","1",6000,3,1,1,"0","1"
"65+","female","30y+","high school","middle class",0.511758650544464,"0","before 2015","1","1",10000,2,1,4,"0","1"
"65+","female","20-29y","high school","middle class",0.522800160685679,"1","after 2015","0","1",13000,2,0,1,"0","1"
"65+","male","0-9y","university","upper class",0.499055240274298,"1","before 2015","0","1",11000,0,0,0,"1","1"
"16-25","male","0-9y","high school","middle class",0.568797426613523,"0","before 2015","1","0",12000,0,0,0,"1","3"
"40-64","female","10-19y","university","upper class",0.769706028061308,"1","before 2015","1","1",15000,1,0,0,"0","1"
"26-39","female","0-9y","none","working class",0.375248234070372,"1","before 2015","1","1",13000,0,0,0,"0","1"
"26-39","female","0-9y","university","upper class",NA,"1","before 2015","1","0",10000,0,0,0,"0","3"
"16-25","male","0-9y","high school","poverty",0.275661767260043,"0","before 2015","0","0",NA,0,0,0,"1","3"
